,date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
14190,2024-04-28,2023,Jupiler Pro League,Belgium,Union St. Gilloise,,,Antwerp,Not Started
14240,2024-04-28,2023,Jupiler Pro League,Belgium,RWDM,,,Kortrijk,Not Started
14507,2024-04-28,2023,NB II,Hungary,Gyirmot SE,,,Kozarmisleny FC,Not Started
14508,2024-04-28,2023,NB II,Hungary,BVSC,,,Csakvar,Not Started
14509,2024-04-28,2023,NB II,Hungary,Szeged 2011,,,Soroksar,Not Started
14510,2024-04-28,2023,NB II,Hungary,MTE 1904,,,Gyori ETO FC,Not Started
14511,2024-04-28,2023,NB II,Hungary,Pécsi MFC,,,Szombathelyi Haladas,Not Started
14512,2024-04-28,2023,NB II,Hungary,Kazincbarcikai,,,Budapest Honved,Not Started
14513,2024-04-28,2023,NB II,Hungary,Vasas,,,Tiszakecske FC,Not Started
14514,2024-04-28,2023,NB II,Hungary,Budafoki LC,,,Siofok,Not Started
14811,2024-04-28,2023,Liga I,Romania,CFR 1907 Cluj,,,Sepsi OSK Sfantu Gheorghe,Not Started
14852,2024-04-28,2023,Liga I,Romania,Oţelul,,,AFC Hermannstadt,Not Started
14853,2024-04-28,2023,Liga I,Romania,Politehnica Iasi,,,Uta Arad,Not Started
15071,2024-04-28,2023,Premier Soccer League,South-Africa,Royal AM,,,Orlando Pirates,Not Started
15072,2024-04-28,2023,Premier Soccer League,South-Africa,TS Galaxy,,,Moroka Swallows,Not Started
15073,2024-04-28,2023,Premier Soccer League,South-Africa,Cape Town City,,,Golden Arrows,Not Started
15470,2024-04-28,2023,Premyer Liqa,Azerbaidjan,Neftchi Baku,,,Turan,Not Started
15471,2024-04-28,2023,Premyer Liqa,Azerbaidjan,Sumqayıt,,,Qarabag,Not Started
15472,2024-04-28,2023,Premyer Liqa,Azerbaidjan,Qabala,,,Kapaz,Not Started
17800,2024-04-28,2023,Division 1,United-Arab-Emirates,Dibba Al-Fujairah,,,Al Arabi,Not Started
17801,2024-04-28,2023,Division 1,United-Arab-Emirates,Al Ramms,,,Dibba Al Hisn,Not Started
17802,2024-04-28,2023,Division 1,United-Arab-Emirates,Al Thaid,,,Al Hamriyah,Not Started
17803,2024-04-28,2023,Division 1,United-Arab-Emirates,City,,,Al Jazira Al Hamra,Not Started
17955,2024-04-28,2023,Stars League,Qatar,Al-Markhiya,,,UMM Salal,Time to be defined
17956,2024-04-28,2023,Stars League,Qatar,Al Shamal,,,Al-Gharafa,Time to be defined
17957,2024-04-28,2023,Stars League,Qatar,Qatar SC,,,Al-Duhail SC,Time to be defined
17958,2024-04-28,2023,Stars League,Qatar,Al-Rayyan SC,,,Al Sadd,Time to be defined
17959,2024-04-28,2023,Stars League,Qatar,Al-Arabi SC,,,Muaither SC,Time to be defined
17960,2024-04-28,2023,Stars League,Qatar,Al Ahli Doha,,,Al Wakrah,Time to be defined
19415,2024-04-28,2023,Primera División RFEF - Group 1,Spain,Cultural Leonesa,,,Gimnastic,Not Started
19418,2024-04-28,2023,Primera División RFEF - Group 1,Spain,Deportivo La Coruna,,,Arenteiro,Not Started
19419,2024-04-28,2023,Primera División RFEF - Group 1,Spain,Tarazona,,,Real Sociedad II,Not Started
19791,2024-04-28,2023,Primera División RFEF - Group 2,Spain,Castellón,,,Melilla,Not Started
19792,2024-04-28,2023,Primera División RFEF - Group 2,Spain,Alcoyano,,,Granada II,Not Started
19793,2024-04-28,2023,Primera División RFEF - Group 2,Spain,Cordoba,,,Malaga,Not Started
